OverallQual,YearBuilt,YearRemodAdd,TotalBsmtSF,1stFlrSF,GrLivArea,FullBath,TotRmsAbvGrd,GarageCars,GarageArea,ExterQual_TA,BsmtQual_Ex,KitchenQual_Ex,KitchenQual_TA,GarageFinish_Unf,SalePrice
4,1927,1950,520,520,520,1,4,1,240,1.0,0.0,0.0,0.0,1.0,68500
4,1920,1950,649,649,1317,1,6,1,250,1.0,0.0,0.0,1.0,1.0,40000
5,1966,2006,1228,1228,1228,1,6,1,271,1.0,0.0,0.0,0.0,1.0,149350
8,2007,2007,1234,1234,1234,2,7,2,484,0.0,1.0,0.0,0.0,0.0,179900
5,1959,1959,1398,1700,1700,1,6,2,447,1.0,0.0,0.0,0.0,0.0,165500
9,2005,2005,1561,1561,1561,2,6,2,556,0.0,1.0,1.0,0.0,0.0,277500
8,2004,2005,1117,1132,2452,3,9,3,691,0.0,1.0,0.0,0.0,0.0,309000
5,1994,1995,1097,1097,1097,1,6,2,672,1.0,0.0,0.0,1.0,1.0,145000
5,1954,1990,1297,1297,1297,1,5,2,498,1.0,0.0,0.0,1.0,0.0,153000
5,1953,2007,1057,1057,1057,1,5,1,246,1.0,0.0,0.0,0.0,1.0,109000
4,1955,1955,0,1152,1152,2,6,0,0,1.0,0.0,0.0,0.0,1.0,82000
6,1965,1965,1088,1324,1324,2,6,2,440,1.0,0.0,0.0,1.0,0.0,160000
5,1959,1959,1350,1328,1328,1,5,1,308,1.0,0.0,0.0,1.0,0.0,170000
5,1983,1983,840,884,884,1,5,2,504,1.0,0.0,0.0,0.0,0.0,144000
5,1975,1980,938,938,938,1,5,1,308,1.0,0.0,0.0,1.0,1.0,130250
5,1959,1959,1150,1150,1150,1,6,1,300,1.0,0.0,0.0,1.0,0.0,141000
9,2005,2005,1752,1752,1752,2,6,2,576,0.0,1.0,1.0,0.0,0.0,319900
7,2003,2003,1434,1518,2149,1,6,2,670,0.0,1.0,0.0,0.0,0.0,239686
8,2006,2006,1656,1656,1656,2,7,3,826,0.0,0.0,0.0,0.0,0.0,249700
4,1920,2008,736,736,1452,2,8,0,0,1.0,0.0,0.0,1.0,1.0,113000
5,1966,1966,955,955,955,1,6,1,386,1.0,0.0,0.0,1.0,1.0,127000
6,1997,1997,794,794,1470,2,6,2,388,1.0,0.0,0.0,1.0,0.0,177000
6,1934,1950,816,816,1176,1,6,2,528,1.0,0.0,0.0,1.0,1.0,114500
5,1963,1963,816,816,816,1,5,2,516,0.0,0.0,0.0,1.0,1.0,110000
9,1981,1987,1842,1842,1842,0,5,3,894,0.0,1.0,0.0,0.0,0.0,385000
5,1955,1955,384,1360,1360,1,6,2,572,1.0,0.0,0.0,1.0,1.0,130000
6,1964,1964,1425,1425,1425,2,7,2,576,1.0,0.0,0.0,1.0,0.0,180500
8,1999,2000,970,983,1739,2,7,2,480,0.0,0.0,0.0,0.0,0.0,172500
7,2004,2004,860,860,1720,2,7,2,565,0.0,0.0,0.0,0.0,0.0,196500
10,2006,2006,1410,1426,2945,3,10,3,641,0.0,1.0,0.0,0.0,0.0,438780
5,1972,1972,780,780,780,1,4,1,352,1.0,0.0,0.0,1.0,1.0,124900
6,2004,2004,1158,1158,1158,1,5,2,576,1.0,0.0,0.0,0.0,1.0,158000
5,1920,1996,530,581,1111,1,6,1,288,1.0,0.0,0.0,0.0,1.0,101000
8,2006,2006,1370,1370,1370,2,6,2,484,0.0,0.0,0.0,0.0,0.0,202500
7,1921,1950,576,902,1710,2,9,2,480,1.0,0.0,0.0,1.0,1.0,140000
7,1997,1998,1057,1057,2034,2,8,2,645,1.0,0.0,0.0,0.0,0.0,219500
8,2004,2005,1143,1143,2473,2,9,3,852,0.0,1.0,0.0,0.0,0.0,317000
7,1970,1989,1947,2207,2207,2,7,2,576,1.0,0.0,0.0,1.0,0.0,180000
7,2003,2003,1453,1479,1479,2,7,2,558,0.0,0.0,0.0,0.0,0.0,226000
4,1945,1950,747,747,747,1,4,1,220,1.0,0.0,0.0,1.0,1.0,80000
7,1953,1953,1304,1304,2287,2,7,2,667,0.0,0.0,0.0,1.0,0.0,225000
7,1973,1973,2223,2223,2223,2,8,2,516,1.0,0.0,0.0,1.0,0.0,244000
4,1982,2006,845,845,845,1,4,2,360,1.0,0.0,0.0,1.0,1.0,129500
7,1998,1998,832,885,1718,2,7,2,427,1.0,0.0,0.0,1.0,0.0,185000
5,1954,2003,1086,1086,1086,1,6,2,490,1.0,0.0,0.0,1.0,1.0,144900
3,1915,1950,840,840,1605,2,8,1,379,0.0,0.0,0.0,1.0,1.0,107400
4,1973,1973,462,526,988,1,5,1,297,1.0,0.0,0.0,1.0,1.0,91000
4,1956,1956,952,952,952,1,4,1,283,1.0,0.0,0.0,1.0,1.0,135750
5,1948,2001,672,1072,1285,1,6,1,240,1.0,0.0,0.0,1.0,1.0,127000
4,1968,1968,1768,1768,1768,2,8,0,0,1.0,0.0,0.0,1.0,1.0,136500
5,1910,1981,440,682,1230,1,5,2,440,1.0,0.0,0.0,1.0,1.0,110000
6,1968,1968,896,1182,2142,2,8,1,509,1.0,0.0,0.0,0.0,0.0,193500
6,1998,1998,1237,1337,1337,2,5,2,405,1.0,1.0,0.0,1.0,0.0,153500
8,2007,2007,1563,1563,1563,2,6,3,758,1.0,0.0,0.0,0.0,0.0,245000
5,1960,1960,1065,1065,1065,1,6,2,461,1.0,0.0,0.0,1.0,1.0,126500
7,1995,1996,384,804,1474,2,7,2,400,1.0,0.0,0.0,1.0,0.0,168500
8,1991,1992,1288,1301,2417,2,9,2,462,0.0,0.0,0.0,0.0,1.0,260000
6,2005,2005,684,684,1560,2,6,2,400,0.0,0.0,0.0,0.0,0.0,174000
6,2009,2009,612,612,1224,2,4,2,528,0.0,0.0,0.0,0.0,0.0,164500
3,1915,1982,1013,1013,1526,1,6,0,0,0.0,0.0,0.0,0.0,1.0,85000
4,1994,1995,990,990,990,1,5,0,0,1.0,0.0,0.0,1.0,1.0,123600
4,1950,1950,0,1040,1040,1,4,2,420,1.0,0.0,0.0,1.0,1.0,109900
5,1961,1961,1235,1235,1235,1,6,2,480,1.0,0.0,0.0,1.0,1.0,98600
5,1921,2006,876,964,964,1,5,2,432,1.0,0.0,0.0,1.0,1.0,163500
6,1910,1998,1214,1260,2291,2,9,2,506,1.0,0.0,0.0,1.0,1.0,133900
6,1997,1997,824,905,1786,2,7,2,684,1.0,0.0,0.0,0.0,0.0,204750
6,1993,1993,680,680,1470,2,6,2,420,0.0,0.0,0.0,1.0,0.0,185000
7,1999,1999,1588,1588,1588,2,6,2,472,0.0,0.0,0.0,0.0,0.0,214000
4,1965,1965,960,960,960,1,6,1,432,1.0,0.0,0.0,1.0,0.0,94750
5,1920,1950,458,835,835,1,5,1,366,1.0,0.0,0.0,1.0,1.0,83000
4,1959,1959,950,1225,1225,1,6,0,0,1.0,0.0,0.0,1.0,1.0,128950
6,1977,2001,1610,1610,1610,2,6,2,480,1.0,0.0,0.0,0.0,0.0,205000
6,1985,1985,741,977,1732,2,7,2,476,0.0,0.0,0.0,0.0,0.0,178000
5,1979,1979,0,1535,1535,2,8,2,410,1.0,0.0,0.0,1.0,1.0,118964
7,2009,2009,1226,1226,1226,2,6,3,740,1.0,0.0,0.0,0.0,0.0,198900
7,1931,1950,1040,1226,1818,1,7,1,240,1.0,0.0,0.0,1.0,1.0,169500
8,2003,2004,1053,1053,1992,2,9,2,648,0.0,1.0,0.0,0.0,0.0,250000
4,1885,1995,641,1047,1047,1,6,1,273,1.0,0.0,0.0,1.0,1.0,100000
5,1948,1950,789,789,789,1,5,1,250,1.0,0.0,0.0,1.0,1.0,115000
5,1919,2005,793,997,1517,2,7,0,0,1.0,0.0,0.0,0.0,1.0,115000
6,1977,1977,1844,1844,1844,2,7,2,546,1.0,0.0,0.0,1.0,0.0,190000
6,1954,1972,994,1216,1855,2,7,1,325,1.0,0.0,0.0,1.0,1.0,136900
7,2000,2000,384,774,1430,2,7,2,400,1.0,0.0,0.0,1.0,0.0,180000
7,2007,2007,1264,1282,2696,2,10,3,792,0.0,1.0,1.0,0.0,0.0,383970
6,1953,1953,1809,2259,2259,2,7,2,450,1.0,0.0,0.0,0.0,1.0,217000
6,1945,2002,1028,1436,2320,2,9,1,180,1.0,0.0,0.0,0.0,1.0,259500
6,1999,1999,729,729,1458,2,5,2,440,1.0,0.0,0.0,1.0,1.0,176000
5,1962,1962,1092,1092,1092,1,6,1,288,1.0,0.0,0.0,1.0,1.0,139000
5,2006,2007,1125,1125,1125,1,5,2,430,1.0,0.0,0.0,1.0,1.0,155000
7,1990,1990,1673,1699,3222,3,11,3,594,1.0,0.0,0.0,0.0,1.0,320000
6,2005,2006,728,728,1456,2,8,2,390,0.0,0.0,0.0,0.0,0.0,163990
6,1969,1969,938,988,988,1,4,2,540,1.0,0.0,0.0,1.0,1.0,180000
4,1939,1950,732,772,1123,1,4,1,264,1.0,0.0,0.0,1.0,1.0,100000
6,1958,1958,1080,1080,1080,1,5,1,288,1.0,0.0,0.0,1.0,1.0,136000
6,1993,1993,1199,1199,1199,2,5,2,530,0.0,0.0,0.0,0.0,0.0,153900
6,1979,1998,1362,1586,1586,2,7,2,435,1.0,0.0,0.0,1.0,1.0,181000
6,1935,1982,520,520,754,1,5,0,0,1.0,0.0,0.0,1.0,1.0,84500
6,1976,1976,1078,958,958,2,5,2,440,1.0,0.0,0.0,1.0,0.0,128000
5,1930,1950,672,840,840,1,5,0,0,1.0,0.0,0.0,1.0,1.0,87000
6,1966,1966,660,660,1348,1,6,2,453,1.0,0.0,0.0,1.0,0.0,155000
5,1958,1991,1008,1053,1053,1,6,2,750,1.0,0.0,1.0,0.0,0.0,150000
7,1966,1966,924,1216,2157,2,8,2,487,1.0,0.0,0.0,0.0,0.0,226000
6,2000,2000,992,1022,2054,2,7,2,390,0.0,0.0,0.0,0.0,0.0,244000
5,1959,2002,1063,1327,1327,1,7,2,624,1.0,0.0,0.0,0.0,1.0,150750
8,2001,2002,1267,1296,1296,2,6,2,471,0.0,1.0,0.0,0.0,0.0,220000
5,1968,1993,1461,1721,1721,2,7,2,440,1.0,0.0,0.0,1.0,0.0,180000
7,1970,1970,1304,1682,1682,2,7,2,530,1.0,0.0,0.0,1.0,1.0,174000
5,1967,1967,1214,1214,1214,2,5,1,318,1.0,0.0,0.0,1.0,0.0,143000
7,1988,1989,1907,1959,1959,3,9,3,766,1.0,0.0,0.0,1.0,1.0,171000
8,1999,2000,1004,1004,1852,2,7,3,660,0.0,0.0,0.0,0.0,0.0,230000
6,1997,1997,928,928,1764,2,7,2,470,1.0,0.0,0.0,0.0,0.0,231500
4,1971,1971,864,864,864,1,5,0,0,1.0,0.0,0.0,1.0,1.0,115000
7,2005,2005,1734,1734,1734,2,7,2,660,0.0,0.0,0.0,0.0,0.0,260000
5,1952,1952,910,910,1385,2,6,2,720,1.0,0.0,0.0,1.0,1.0,166000
7,1999,1999,1490,1501,1501,2,6,2,577,0.0,0.0,0.0,0.0,0.0,204000
5,1963,1963,1728,1728,1728,2,10,2,504,1.0,0.0,0.0,1.0,1.0,125000
6,2004,2006,970,970,1709,2,7,2,380,0.0,0.0,0.0,0.0,1.0,130000
5,1931,1993,715,875,875,1,5,1,180,1.0,0.0,0.0,1.0,1.0,105000
7,2001,2001,884,884,2035,2,8,2,434,0.0,0.0,0.0,0.0,0.0,222500
7,2004,2005,1080,1080,1080,1,6,0,0,1.0,0.0,0.0,0.0,1.0,141000
5,1936,1950,896,896,1344,1,7,1,240,1.0,0.0,0.0,1.0,1.0,115000
5,1975,1975,969,969,969,1,5,2,440,1.0,0.0,0.0,1.0,1.0,122000
8,2007,2008,1710,1710,1710,2,6,3,866,0.0,1.0,0.0,0.0,0.0,372402
6,1971,1971,825,1097,1993,2,8,2,495,1.0,0.0,0.0,1.0,0.0,190000
6,1960,1975,1602,1252,1252,1,4,2,564,1.0,0.0,0.0,1.0,0.0,235000
6,1923,1950,1200,1200,1200,1,7,1,312,1.0,0.0,0.0,1.0,1.0,125000
6,1924,1950,572,572,1096,1,5,0,0,1.0,0.0,0.0,1.0,1.0,79000
5,1950,1950,0,1040,1040,1,5,2,625,1.0,0.0,0.0,1.0,1.0,109500
8,2009,2010,774,774,1968,2,8,3,680,0.0,1.0,1.0,0.0,0.0,269500
7,2004,2005,991,991,1947,2,8,2,678,0.0,0.0,0.0,0.0,0.0,254900
7,2005,2006,1392,1392,2462,2,9,2,576,0.0,0.0,0.0,0.0,0.0,320000
6,1984,1984,1232,1232,1232,2,6,2,516,1.0,0.0,0.0,1.0,1.0,162500
9,2003,2004,1572,1572,2668,2,10,3,726,0.0,1.0,1.0,0.0,0.0,412500
7,2005,2005,1541,1541,1541,2,7,2,532,0.0,0.0,0.0,0.0,0.0,220000
4,1956,1956,882,882,882,1,4,0,0,1.0,0.0,0.0,1.0,1.0,103200
6,1926,2004,1149,1149,1616,2,5,1,216,1.0,0.0,0.0,0.0,1.0,152000
5,1940,1999,644,808,1355,2,6,0,0,1.0,0.0,0.0,1.0,1.0,127500
5,1955,1993,1617,1867,1867,1,7,1,303,0.0,0.0,0.0,1.0,0.0,190000
8,2007,2007,1582,1610,2161,1,8,3,789,0.0,1.0,1.0,0.0,0.0,325624
7,2004,2004,840,840,1720,2,7,2,440,0.0,0.0,0.0,0.0,0.0,183500
8,1981,1981,1686,1707,1707,2,6,2,511,0.0,0.0,0.0,1.0,0.0,228000
5,1941,1950,720,854,1382,1,7,2,660,1.0,0.0,0.0,1.0,1.0,128500
6,1960,1960,1080,1656,1656,1,7,2,528,1.0,0.0,0.0,1.0,0.0,215000
7,1987,1987,1064,1064,1767,2,5,2,504,0.0,0.0,0.0,0.0,0.0,239000
6,1961,1961,1362,1362,1362,1,6,2,504,1.0,0.0,0.0,1.0,1.0,163000
6,1986,1986,1606,1651,1651,2,7,2,616,1.0,0.0,0.0,1.0,0.0,184000
6,1950,2001,1202,2158,2158,2,7,2,576,1.0,0.0,0.0,0.0,1.0,243000
6,1988,1989,1151,1164,2060,2,8,2,521,0.0,0.0,0.0,1.0,1.0,211000
5,1958,1958,1052,1252,1920,2,8,2,451,0.0,0.0,0.0,0.0,1.0,172500
9,2008,2009,2216,2234,2234,2,9,3,1166,0.0,1.0,1.0,0.0,0.0,501837
5,1923,2006,968,968,968,1,5,2,480,0.0,0.0,0.0,1.0,1.0,100000
6,2000,2000,756,769,1525,2,5,2,440,0.0,0.0,0.0,0.0,1.0,177000
7,1920,1950,793,901,1802,1,9,1,216,1.0,0.0,0.0,1.0,1.0,200100
5,1957,2006,0,1340,1340,1,7,1,252,1.0,0.0,0.0,1.0,0.0,120000
7,2003,2003,1362,1362,2082,2,6,2,484,1.0,0.0,0.0,0.0,1.0,200000
5,1908,1991,504,936,1252,1,5,2,576,1.0,0.0,0.0,1.0,1.0,127000
10,1892,1993,1107,1518,3608,2,12,3,840,0.0,0.0,1.0,0.0,1.0,475000
7,1990,1991,1188,1217,1217,2,6,2,497,1.0,0.0,0.0,0.0,1.0,173000
5,1916,1987,660,808,1656,2,8,1,180,1.0,0.0,0.0,1.0,1.0,135000
5,1979,1979,1086,1224,1224,0,6,2,528,1.0,0.0,0.0,1.0,1.0,153337
8,2001,2002,1593,1593,1593,1,5,2,682,0.0,1.0,1.0,0.0,0.0,286000
8,1932,1994,853,1549,2727,2,10,2,440,0.0,0.0,0.0,0.0,1.0,315000
7,1972,2004,725,725,1479,1,7,2,484,1.0,0.0,0.0,0.0,0.0,184000
7,1999,1999,1431,1431,1431,2,6,2,666,0.0,0.0,0.0,0.0,0.0,192000
7,2004,2004,970,970,1709,2,7,2,380,0.0,0.0,0.0,0.0,1.0,130000
5,1972,1972,864,864,864,1,5,1,352,1.0,0.0,0.0,1.0,1.0,127000
6,1976,1976,855,855,1456,2,7,2,440,1.0,0.0,0.0,1.0,1.0,148500
7,2007,2007,1726,1726,1726,2,8,3,786,0.0,1.0,1.0,0.0,0.0,311872
8,1918,1990,1360,1360,3112,2,8,2,795,0.0,0.0,0.0,0.0,1.0,235000
6,1912,1950,755,929,2229,1,8,0,0,1.0,0.0,0.0,1.0,1.0,104000
8,2004,2005,1713,1713,1713,2,7,3,856,0.0,1.0,1.0,0.0,0.0,274900
4,2003,2004,1121,1121,1121,2,5,2,440,1.0,0.0,0.0,1.0,0.0,140000
6,1977,1977,1196,1279,1279,2,6,2,473,1.0,0.0,0.0,1.0,1.0,171500
6,1924,1950,617,865,1310,2,6,1,398,1.0,0.0,0.0,1.0,1.0,112000
6,2004,2004,848,848,848,1,3,2,420,0.0,0.0,0.0,0.0,0.0,149000
5,1947,1950,720,720,1284,1,5,1,240,1.0,0.0,0.0,1.0,1.0,110000
7,1990,1990,1424,1442,1442,2,5,2,500,1.0,0.0,0.0,1.0,0.0,180500
5,1962,1962,1140,1696,1696,1,8,1,349,1.0,0.0,0.0,1.0,0.0,143900
4,1960,1960,1100,1100,1100,1,6,1,312,1.0,0.0,0.0,1.0,0.0,141000
7,1988,1989,1157,1180,2062,2,7,2,454,0.0,0.0,0.0,1.0,0.0,277000
6,1964,1964,1092,1092,1092,1,6,2,504,1.0,0.0,0.0,1.0,0.0,145000
5,1925,1950,864,864,864,1,5,0,0,1.0,0.0,0.0,1.0,1.0,98000
6,2009,2009,1212,1212,1212,2,6,2,460,1.0,0.0,0.0,0.0,0.0,186000
7,2009,2009,900,932,1852,2,7,2,644,1.0,0.0,0.0,0.0,0.0,252678
5,1995,1995,990,990,990,1,5,2,576,1.0,0.0,0.0,1.0,1.0,156000
6,1977,1977,689,689,1392,1,6,1,299,1.0,0.0,0.0,1.0,0.0,161750
5,1957,1996,1070,1236,1236,1,6,1,447,1.0,0.0,0.0,0.0,1.0,134450
7,2004,2004,1436,1436,1436,2,8,2,484,0.0,0.0,0.0,0.0,1.0,210000
4,1925,1950,686,810,1328,1,8,1,210,1.0,0.0,0.0,1.0,1.0,107000
7,1939,2006,798,1137,1954,1,8,2,431,0.0,0.0,0.0,0.0,1.0,311500
7,2005,2006,1248,1248,1248,2,5,2,438,0.0,0.0,0.0,0.0,0.0,167240
7,2006,2006,1498,1498,1498,2,5,2,675,0.0,0.0,0.0,0.0,0.0,204900
6,2002,2002,1010,1010,2267,2,8,2,390,0.0,0.0,0.0,0.0,0.0,200000
6,1975,1975,713,811,1552,2,6,2,434,1.0,0.0,0.0,1.0,0.0,179900
4,1971,1971,864,864,864,1,4,2,576,1.0,0.0,0.0,1.0,1.0,97000
10,2003,2003,2392,2392,2392,2,8,3,968,0.0,1.0,1.0,0.0,0.0,386250
5,1971,1971,630,630,1302,2,6,1,280,1.0,0.0,0.0,1.0,1.0,112000
7,1995,1995,1203,1214,2520,2,9,3,721,0.0,0.0,0.0,0.0,0.0,290000
6,1970,1970,483,483,987,1,5,1,280,1.0,0.0,0.0,1.0,1.0,106000
5,1967,1967,912,912,912,1,5,1,336,1.0,0.0,0.0,1.0,1.0,125000
7,2005,2006,1373,1555,1555,2,7,2,430,0.0,0.0,0.0,0.0,0.0,192500
6,1959,1959,1194,1194,1194,1,6,1,312,1.0,0.0,0.0,1.0,0.0,148000
8,1995,1996,1462,1490,2794,2,9,3,810,0.0,0.0,1.0,0.0,0.0,403000
6,1972,1972,483,483,987,1,5,1,288,1.0,0.0,0.0,1.0,1.0,94500
5,1976,1976,894,894,894,1,5,1,308,1.0,0.0,0.0,1.0,1.0,128200
6,2002,2002,860,860,1960,2,8,2,440,0.0,0.0,0.0,0.0,0.0,216500
6,1971,1971,483,483,987,1,5,1,264,1.0,0.0,0.0,1.0,1.0,89500
7,2004,2004,1414,1414,1414,2,6,2,494,0.0,0.0,0.0,0.0,0.0,185500
7,1993,2003,996,1014,1744,2,7,2,457,0.0,0.0,0.0,0.0,0.0,194500
8,2007,2007,1694,1694,1694,2,7,3,818,0.0,1.0,0.0,0.0,0.0,318000
6,1945,1950,735,798,1487,1,7,1,220,1.0,0.0,0.0,1.0,1.0,113000
8,2008,2008,1566,1566,1566,2,7,2,750,0.0,0.0,0.0,0.0,0.0,262500
5,1945,1997,686,866,866,1,4,0,0,1.0,0.0,0.0,0.0,1.0,110500
5,1900,1950,540,889,1440,1,6,1,352,1.0,0.0,0.0,1.0,1.0,79000
6,1980,1980,626,626,1217,1,6,1,288,1.0,0.0,0.0,1.0,0.0,120000
7,1994,2002,948,1222,2110,2,8,2,463,0.0,0.0,0.0,0.0,0.0,205000
7,1988,1988,1845,1872,1872,2,6,2,604,1.0,0.0,0.0,1.0,0.0,241500
6,1910,1950,1020,908,1928,2,9,1,440,1.0,0.0,0.0,0.0,1.0,137000
6,1954,1954,1367,1375,1375,1,5,2,451,1.0,0.0,0.0,1.0,1.0,140000
7,2003,2003,840,840,1668,2,8,2,500,0.0,0.0,0.0,0.0,0.0,180000
6,1958,2006,1444,1444,2144,2,7,2,389,0.0,0.0,0.0,0.0,0.0,277000
3,1940,1966,728,1306,1306,1,6,0,0,1.0,0.0,0.0,0.0,1.0,76500
8,2006,2007,1573,1625,1625,2,5,2,538,0.0,0.0,0.0,0.0,0.0,235000
6,2004,2004,798,798,1640,2,6,2,520,0.0,0.0,0.0,0.0,0.0,173000
6,1964,1991,1302,1302,1302,2,7,1,309,1.0,0.0,0.0,0.0,0.0,158000
5,1957,1957,1314,1314,1314,1,5,1,294,1.0,0.0,0.0,1.0,0.0,145000
7,1999,1999,975,1005,2291,2,8,2,429,0.0,0.0,0.0,0.0,0.0,230000
6,2003,2003,864,864,1728,2,7,2,673,0.0,0.0,0.0,0.0,0.0,207500
7,2006,2006,1604,1604,1604,2,8,2,660,0.0,0.0,0.0,0.0,0.0,220000
7,2001,2001,963,963,1792,2,7,2,564,0.0,0.0,0.0,0.0,0.0,231500
5,1956,1956,0,882,882,1,4,1,308,1.0,0.0,0.0,1.0,1.0,97000
6,1962,1962,1362,1382,1382,1,6,2,884,1.0,0.0,0.0,1.0,1.0,176000
8,2007,2007,1482,1482,2574,2,10,3,868,0.0,1.0,1.0,0.0,0.0,276000
6,1977,1995,506,1212,1212,1,6,2,492,1.0,0.0,0.0,1.0,1.0,151000
5,1929,2001,926,926,1316,1,6,2,484,1.0,0.0,0.0,1.0,1.0,130000
5,1925,2004,680,764,764,1,4,2,504,1.0,0.0,0.0,1.0,1.0,73000
6,1981,1981,1422,1422,1422,2,7,2,576,1.0,0.0,0.0,0.0,0.0,175500
6,1997,1997,802,802,1511,2,8,2,413,1.0,0.0,0.0,1.0,0.0,185000
5,1939,1997,720,1052,2192,2,8,1,240,1.0,0.0,0.0,0.0,1.0,179500
5,1940,1955,740,778,778,1,4,1,924,1.0,0.0,0.0,1.0,0.0,120500
6,1976,1976,1143,1113,1113,1,6,1,504,1.0,0.0,0.0,1.0,0.0,148000
8,2006,2006,1095,1095,1939,2,8,3,1053,0.0,0.0,0.0,0.0,0.0,266000
7,1954,2005,1385,1363,1363,1,5,2,439,1.0,0.0,0.0,1.0,1.0,241500
8,1999,2007,1152,1164,2270,2,9,3,671,0.0,0.0,0.0,0.0,0.0,290000
6,1958,1988,1240,1632,1632,2,6,1,338,1.0,0.0,0.0,1.0,0.0,139000
5,1982,1982,816,816,816,1,5,1,264,1.0,0.0,0.0,1.0,1.0,124500
7,1925,2007,952,952,1548,2,5,2,672,0.0,0.0,1.0,0.0,1.0,205000
7,2003,2003,1560,1560,1560,2,7,2,573,0.0,1.0,0.0,0.0,0.0,201000
4,1951,1951,864,864,864,1,4,2,400,1.0,0.0,0.0,1.0,1.0,141000
9,2006,2007,2121,2121,2121,2,8,3,732,0.0,1.0,1.0,0.0,0.0,415298
7,1977,1977,1160,1156,2022,2,8,2,505,1.0,0.0,0.0,1.0,0.0,192000
7,1989,1989,807,1175,1982,2,7,2,575,0.0,0.0,0.0,0.0,0.0,228500
6,2006,2006,1262,1262,1262,2,5,2,572,0.0,0.0,0.0,0.0,0.0,185000
7,2007,2008,1314,1314,1314,2,6,2,626,0.0,0.0,0.0,0.0,0.0,207500
8,2008,2009,1468,1468,1468,2,6,3,898,0.0,0.0,0.0,0.0,0.0,244600
6,1992,1992,1575,1575,1575,2,5,2,529,0.0,0.0,0.0,0.0,0.0,179200
7,2006,2007,625,625,1250,2,5,2,528,0.0,0.0,0.0,0.0,0.0,164700
6,1962,1981,912,1085,1734,1,7,2,440,1.0,0.0,0.0,0.0,0.0,159000
4,1971,1971,858,858,858,1,5,0,0,1.0,0.0,0.0,1.0,1.0,88000
5,1967,1967,882,900,900,1,5,1,280,1.0,0.0,0.0,1.0,1.0,122000
6,1915,2003,698,698,1396,1,7,1,384,1.0,0.0,0.0,1.0,1.0,153575
8,2006,2006,1079,1079,1919,2,8,2,685,0.0,0.0,0.0,0.0,0.0,233230
5,1912,2000,780,936,1716,2,9,0,0,1.0,0.0,0.0,0.0,1.0,135900
